series,min,p01,p50,p99,max,missing_pct
region,,,,,,1.0
AG.LND.ARBL.ZS,0.0431406384814495,0.0561167227833895,9.34780408824125,58.03280241084327,73.3886456172697,0.16887628500531726
AG.LND.FRST.K2,0.0,0.0,20350.0,3480638.2375999996,8153116.0,0.5147110953562567
AG.LND.FRST.ZS,0.0,0.0,30.9542548630875,93.7165740411481,96.2263814616756,0.5147110953562567
EG.ELC.COAL.ZS,0.0,0.0,0.0,95.8139563871874,100.0,0.5710740872031195
EG.ELC.HYRO.ZS,0.0,0.0,13.0626223091977,99.99344885328694,100.0,0.5647642679900744
EG.ELC.NGAS.ZS,0.0,0.0,1.53984256318188,99.98690711821693,100.0,0.5698688408365827
EG.ELC.PETR.ZS,0.0,0.0,9.78469949043296,100.0,100.0,0.563062743707905
EG.ELC.RNEW.ZS,0.0,0.0,17.1097204411388,99.98490383431825,100.0,0.5888691953208082
EG.FEC.RNEW.ZS,0.0,0.0,19.5,95.25500000000002,98.3,0.5217298830202056
EG.GDP.PUSE.KO.PP.KD,0.750528803594779,1.8835672006599549,10.67825418372335,32.589970900267986,253.957184193479,0.6589861751152074
EG.USE.COMM.FO.ZS,0.0,0.0,75.51,100.0,100.0,0.6423254165189649
EG.USE.ELEC.KH.PC,0.0,17.690292330422352,1611.48771147678,21318.966629938514,55085.1684476218,0.4803970223325062
EG.USE.PCAP.KG.OE,0.0,107.7653969169423,1191.95049720274,15240.763825725042,40710.1121759965,0.4704005671747607
EN.GHG.CO2.LU.MT.CE.AR5,-1341.714,-790.9444731783109,-1.4448,365.404,2482.397,0.7015951790145338
EN.GHG.CO2.MT.CE.AR5,0.0,0.0,7.0952,2063.394679999994,13259.639,0.2228287841191067
EN.GHG.CO2.PC.CE.AR5,0.0,0.0,1.862223934464515,42.56108676730199,202.865184351252,0.2228287841191067
EN.GHG.CO2.RT.GDP.PP.KD,0.0,0.0,0.159089027337032,1.4791575279863427,11.9088317660532,0.5465437788018433
EN.GHG.CO2.ZG.AR5,-89.5843240045929,-75.28007075690206,39.33699396619705,6426.758087201139,62800.0,0.536760014179369
GB.XPD.RSDV.GD.ZS,0.0054399999789893,0.02510920047760012,0.573949992656708,4.007602329254154,6.01923990249634,0.8323289613612195
IT.NET.USER.ZS,0.0,0.0,17.8,98.0,100.0,0.5719248493442042
NY.GDP.MKTP.CD,2585955.87411804,25812065.26636531,7927590750.39502,3358459680376.7544,29184890000000.0,0.18121233605104572
NY.GDP.PCAP.CD,11.8013216738981,71.82795384703081,2179.88171977271,88654.73338034592,256580.515122745,0.18078695498050337
NY.GNP.PCAP.CD,10.0,80.0,2230.0,73943.59999999986,140280.0,0.2623183268344559
NY.GNP.PCAP.PP.CD,280.0,520.0,8480.0,91476.00000000013,169200.0,0.5276143211627082
SE.ADT.LITR.ZS,5.40465021133423,19.68,90.0,100.0,100.0,0.9242112725983693
SE.SEC.ENRR,0.0,3.189347505569457,76.5405387878418,142.88924331665075,194.460021972656,0.4976249556894718
SE.TER.ENRR,0.0,0.1713748043775556,18.8956108093262,96.87925903320308,166.665649414062,0.554413328606877
SE.XPD.TOTL.GD.ZS,0.0,1.0325614166259764,4.18847990036011,10.561593894958497,66.9003067016602,0.6329670329670329
SP.DYN.LE00.IN,10.989,36.2823,67.90086585365856,83.09139024390244,86.372,0.017795108117688762
SP.POP.TOTL,2715.0,9165.74,4252876.0,317384414.28000057,1450935791.0,0.0021269053527118043
SP.URB.TOTL.IN.ZS,2.077,5.53998,51.219,100.0,100.0,0.009216589861751152
