iso3c,Country,avoided_Mt_capped,transport_cap_mt,co2_total_mt,pct_total_co2_reduced
IND,India,339.7606,339.7606,2955.1817000000005,11.497113696934438
RUS,Russian Federation,261.6207,261.6207,2069.501999999999,12.641722501355405
BRA,Brazil,216.8353,216.8353,479.50420000000025,45.22073007911086
JPN,Japan,179.633,179.633,944.7586,19.01364009811607
MEX,Mexico,130.2114,130.2114,487.0938999999999,26.73229946012463
SAU,Saudi Arabia,128.2202,128.2202,584.5083,21.936420748858488
ESP,Spain,92.1021,92.1021,217.26169999999996,42.39223940528865
NGA,Nigeria,57.2135,57.2135,130.98170000000002,43.680529417468236
EGY,"Egypt, Arab Rep.",55.1137,55.1137,249.7364999999999,22.068740452436877
ZAF,South Africa,48.2214,48.2214,428.5331999999999,11.252663737605397
ARG,Argentina,47.4454,47.4454,183.77839999999992,25.816635687327793
PAK,Pakistan,43.3748,43.3748,200.51010000000008,21.63222700502368
DZA,Algeria,43.3215,43.3215,179.74209999999994,24.1020328570769
ARE,United Arab Emirates,36.2537,36.2537,201.3250999999999,18.007541036860292
IRQ,Iraq,33.4508,33.4508,174.83659999999992,19.13260724585128
