iso3c,Country,pct_total_co2_reduced,avoided_Mt_capped,co2_total_mt
BRA,Brazil,45.22073007911086,216.8353,479.50420000000025
NGA,Nigeria,43.680529417468236,57.2135,130.98170000000002
ESP,Spain,42.39223940528865,92.1021,217.26169999999996
LBY,Libya,30.09677880151418,16.8554,56.004
MEX,Mexico,26.73229946012463,130.2114,487.0938999999999
ARG,Argentina,25.816635687327793,47.4454,183.77839999999992
DZA,Algeria,24.1020328570769,43.3215,179.74209999999994
EGY,"Egypt, Arab Rep.",22.068740452436877,55.1137,249.7364999999999
SAU,Saudi Arabia,21.936420748858488,128.2202,584.5083
PAK,Pakistan,21.63222700502368,43.3748,200.51010000000008
CZE,Czechia,21.418186157096013,19.3862,90.5128
IRQ,Iraq,19.13260724585128,33.4508,174.83659999999992
JPN,Japan,19.01364009811607,179.633,944.7586
TKM,Turkmenistan,18.168256248688547,11.862,65.28969999999997
ARE,United Arab Emirates,18.007541036860292,36.2537,201.3250999999999
